PAD 0001 ICeWall.tcl:1691          $str
Incorrect signal assignments ([llength $errors]) found
PAD 0002 ICeWall.tcl:1487          Not enough bumps: available [expr 2 * ($num_signals_top_bottom + $num_signals_left_right)] required $required
PAD 0004 ICeWall.tcl:2266          Cannot find a terminal [get_padcell_signal_name $padcell] for ${padcell}
PAD 0005 ICeWall.tcl:229           Illegal orientation "$orient" specified
PAD 0006 ICeWall.tcl:275           Illegal orientation "$orient" specified
PAD 0007 ICeWall.tcl:1661          File $signal_assignment_file not found
PAD 0008 ICeWall.tcl:931           Cannot find cell $name in the database
PAD 0009 ICeWall.tcl:3712          Expected 1, 2 or 4 offset values, got [llength $args]
PAD 0010 ICeWall.tcl:3740          Expected 1, 2 or 4 inner_offset values, got [llength $args]
PAD 0011 ICeWall.tcl:1449          Expected instance $name for padcell $padcell not found
PAD 0012 ICeWall.tcl:2314          Cannot find a terminal [get_padcell_signal_name $padcell] for $padcell to associate with bondpad [$inst getName]
PAD 0014 ICeWall.tcl:3409          Net ${signal}_$section already exists, so cannot be used in the pad ring
PAD 0015 ICeWall.tcl:3116          No cells found on $side side
PAD 0016 ICeWall.tcl:593           Scaled core area not defined
PAD 0017 ICeWall.tcl:1804          Found [llength $pad_connections] top level connections to $pin_name of padcell i$padcell (inst:[$inst getName]), expecting only 1
PAD 0018 ICeWall.tcl:3433          No term $signal found on $inst_name
PAD 0019 ICeWall.tcl:2260          Cannot find shape on layer [get_footprint_pad_pin_layer] for [$inst getName]:[[$inst getMaster] getName]:[$mterm getName]
PAD 0020 ICeWall.tcl:2245          Cannot find pin [get_library_pad_pin_name [get_padcell_type $padcell]] on cell [[$inst getMaster] getName]
PAD 0021 ICeWall.tcl:1115          Value of bump spacing_to_edge not specified
PAD 0022 ICeWall.tcl:1096          Cannot find padcell $padcell
PAD 0023 ICeWall.tcl:1101          Signal name for padcell $padcell has not been set
PAD 0024 ICeWall.tcl:312           Cannot find bondpad type in library
PAD 0025 ICeWall.tcl:383           No instance found for $padcell
PAD 0026 ICeWall.tcl:323           Cannot find bondpad type in library
PAD 0027 ICeWall.tcl:2762          Illegal orientation $orientation specified
PAD 0028 ICeWall.tcl:2783          Illegal orientation $orientation specified
PAD 0030 ICeWall.tcl:3515          Unrecognised arguments to init_footprint $arglist
PAD 0031 ICeWall.tcl:493           No die_area specified in the footprint specification
PAD 0032 ICeWall.tcl:777           Cannot find net $signal_name for $padcell in the design
PAD 0033 ICeWall.tcl:1023          No value defined for pad_pin_name in the library or cell data for $type
PAD 0034 ICeWall.tcl:2411          No bump pitch table defined in the library
PAD 0035 ICeWall.tcl:2501          No bump_pitch defined in library data
PAD 0036 ICeWall.tcl:2525          No width defined for selected bump cell $cell_name
PAD 0037 ICeWall.tcl:2528          No bump_width defined in library data
PAD 0038 ICeWall.tcl:2540          No bump_pin_name attribute found in the library
PAD 0039 ICeWall.tcl:2553          No rdl_width defined in library data
PAD 0040 ICeWall.tcl:2567          No rdl_spacing defined in library data
PAD 0041 ICeWall.tcl:507           A value for core_area must specified in the footprint specification, or in the environment variable CORE_AREA
PAD 0042 ICeWall.tcl:1864          Cannot find any pads on $side side
PAD 0043 ICeWall.tcl:1867          Pads must be defined on all sides of the die for successful extraction
PAD 0046 ICeWall.tcl:2051          No power nets found in design
PAD 0047 ICeWall.tcl:2056          No ground nets found in design
PAD 0048 ICeWall.tcl:2361          No padcell instance found for $padcell
PAD 0049 ICeWall.tcl:940           No cells defined in the library description
PAD 0050 ICeWall.tcl:3399          Multiple nets found on $signal in pad ring
PAD 0051 ICeWall.tcl:2294          Creating pad ring net: $assigned_name
PAD 0052 ICeWall.tcl:2310          Creating pad ring net: _UNASSIGNED_$idx
PAD 0053 ICeWall.tcl:3439          Creating pad ring nets: [join $nets_created {, }]
PAD 0054 ICeWall.tcl:191           Parameter centre "$centre" missing a value for x
PAD 0055 ICeWall.tcl:194           Parameter centre "$centre" missing a value for y
PAD 0056 ICeWall.tcl:237           Parameter centre "$centre" missing a value for x
PAD 0057 ICeWall.tcl:240           Parameter centre "$centre" missing a value for y
PAD 0058 ICeWall.tcl:286           Footprint has no padcell attribute
PAD 0059 ICeWall.tcl:290           No side attribute spcified for padcell $padcell
PAD 0060 ICeWall.tcl:402           Cannot determine location of padcell $padcell
PAD 0061 ICeWall.tcl:540           Footprint attribute die_area has not been defined
PAD 0062 ICeWall.tcl:552           Footprint attribute die_area has not been defined
PAD 0063 ICeWall.tcl:674           Padcell $padcell_name not specified
PAD 0064 ICeWall.tcl:680           No type attribute specified for padcell $padcell_name
PAD 0065 ICeWall.tcl:722           No type attribute specified for padcell $padcell
PAD 0066 ICeWall.tcl:822           Library data has no type entry $type
PAD 0071 ICeWall.tcl:1000          No cell $cell_name found
PAD 0072 ICeWall.tcl:1173          No bump attribute for padcell $padcell
PAD 0073 ICeWall.tcl:1177          No row attribute specified for bump associated with padcell $padcell
PAD 0074 ICeWall.tcl:1180          No col attribute specified for bump associated with padcell $padcell
PAD 0075 ICeWall.tcl:1217          No bump attribute for padcell $padcell
PAD 0076 ICeWall.tcl:1220          No row attribute specified for bump associated with padcell $padcell
PAD 0077 ICeWall.tcl:1223          No col attribute specified for bump associated with padcell $padcell
