DRT 0000 FlexDR_init.cpp:362       Error: initNetTerms unsupported obj
DRT 0001 TritonRoute.cpp:333       Error reading param file: {}
DRT 0002 TritonRoute.cpp:117       Detailed routing has not been run yet.
DRT 0003 io.cpp:2883               load design first
DRT 0004 io.cpp:2888               load design first
DRT 0005 frRegionQuery.cpp:117     Unsupported region query add
DRT 0006 frRegionQuery.cpp:132     Unsupported region query add
DRT 0007 frRegionQuery.cpp:158     Unsupported region query add
DRT 0008 frRegionQuery.cpp:192     Unsupported region query add
DRT 0009 frRegionQuery.cpp:228     Unsupported region query add
DRT 0010 frRegionQuery.cpp:242     Unsupported region query add
DRT 0011 frRegionQuery.cpp:275     Unsupported region query add
DRT 0012 frRegionQuery.cpp:288     Unsupported region query add
DRT 0013 frRegionQuery.cpp:301     Unsupported region query add
DRT 0014 frRegionQuery.cpp:367     Unsupported region query add
DRT 0015 frRegionQuery.cpp:388     Unsupported region query add
DRT 0016 frRegionQuery.cpp:439     Unsupported region query add of blockage in instance {}
DRT 0017 frRegionQuery.cpp:462     Unsupported region query add
DRT 0018 frRegionQuery.cpp:688       complete {} insts
DRT 0019 frRegionQuery.cpp:692       complete {} insts
DRT 0020 frRegionQuery.cpp:704       complete {} terms
DRT 0021 frRegionQuery.cpp:708       complete {} terms
DRT 0022 frRegionQuery.cpp:725       complete {} snets
DRT 0023 frRegionQuery.cpp:736       complete {} blockages
DRT 0024 frRegionQuery.cpp:746       complete {}
DRT 0026 frRegionQuery.cpp:774       complete {} orig guides
DRT 0027 frRegionQuery.cpp:778       complete {} orig guides
DRT 0028 frRegionQuery.cpp:789       complete {}
DRT 0029 frRegionQuery.cpp:816       complete {} nets (guide)
DRT 0030 frRegionQuery.cpp:820       complete {} nets (guide)
DRT 0031 frRegionQuery.cpp:173     Unsupported region query add
DRT 0032 frRegionQuery.cpp:949     {} grObj region query size = {}
DRT 0033 frRegionQuery.cpp:963     {} shape region query size = {}
DRT 0034 frRegionQuery.cpp:991     {} drObj region query size = {}
DRT 0035 frRegionQuery.cpp:830       complete {} (guide)
DRT 0036 frRegionQuery.cpp:977     {} guide region query size = {}
DRT 0037 FlexGC_init.cpp:76        init_design_helper shape does not have net.
DRT 0038 FlexGC_init.cpp:84        init_design_helper shape does not have dr net.
DRT 0039 FlexGC_init.cpp:87        init_design_helper unsupported type.
DRT 0040 FlexGC_init.cpp:141       FlexGCWorker::initDesign_skipObj type not supported.
DRT 0041 FlexGC_main.cpp:149       Warning: Unsupported metSpc rule.
DRT 0042 FlexGC_main.cpp:224       UNKNOWN corner dir
DRT 0043 FlexGC_main.cpp:301       Unsupported metSpc rule.
DRT 0044 FlexGC_main.cpp:2152      Unsupported LEF58_SPACING rule for cut layer, skipped.
DRT 0045 FlexGC_main.cpp:2318       unsupported branch EXACTALIGNED in checkLef58CutSpacing_spc_adjCut.
DRT 0046 FlexGC_main.cpp:2325       unsupported branch EXCEPTSAMEPGNET in 
DRT 0047 FlexGC_main.cpp:2332       unsupported branch EXCEPTALLWITHIN in 
DRT 0048 FlexGC_main.cpp:2339       unsupported branch TO ALL in checkLef58CutSpacing_spc_adjCut.
DRT 0049 FlexGC_main.cpp:2346       unsupported branch NOPRL in checkLef58CutSpacing_spc_adjCut.
