DRT 0000 FlexDR_init.cpp:361       initNetTerms unsupported obj.
DRT 0001 TritonRoute.cpp:341       Error reading param file: {}.
DRT 0002 TritonRoute.cpp:123       Detailed routing has not been run yet.
DRT 0003 io.cpp:2701               Load design first.
DRT 0004 io.cpp:2706               Load design first.
DRT 0005 frRegionQuery.cpp:117     Unsupported region query add.
DRT 0006 frRegionQuery.cpp:129     Unsupported region query add.
DRT 0007 frRegionQuery.cpp:149     Unsupported region query add.
DRT 0008 frRegionQuery.cpp:177     Unsupported region query add.
DRT 0009 frRegionQuery.cpp:206     Unsupported region query add.
DRT 0010 frRegionQuery.cpp:217     Unsupported region query add.
DRT 0011 frRegionQuery.cpp:244     Unsupported region query add.
DRT 0012 frRegionQuery.cpp:255     Unsupported region query add.
DRT 0013 frRegionQuery.cpp:266     Unsupported region query add.
DRT 0014 frRegionQuery.cpp:320     Unsupported region query add.
DRT 0015 frRegionQuery.cpp:338     Unsupported region query add.
DRT 0016 frRegionQuery.cpp:385     Unsupported region query add of blockage in instance {}.
DRT 0017 frRegionQuery.cpp:405     Unsupported region query add.
DRT 0018 frRegionQuery.cpp:614       Complete {} insts.
DRT 0019 frRegionQuery.cpp:618       Complete {} insts.
DRT 0020 frRegionQuery.cpp:630       Complete {} terms.
DRT 0021 frRegionQuery.cpp:634       Complete {} terms.
DRT 0022 frRegionQuery.cpp:651       Complete {} snets.
DRT 0023 frRegionQuery.cpp:662       Complete {} blockages.
DRT 0024 frRegionQuery.cpp:672       Complete {}.
DRT 0026 frRegionQuery.cpp:702       Complete {} origin guides.
DRT 0027 frRegionQuery.cpp:706       Complete {} origin guides.
DRT 0028 frRegionQuery.cpp:717       Complete {}.
DRT 0029 frRegionQuery.cpp:746       Complete {} nets (guide).
DRT 0030 frRegionQuery.cpp:750       Complete {} nets (guide).
DRT 0031 frRegionQuery.cpp:161     Unsupported region query add.
DRT 0032 frRegionQuery.cpp:878     {} grObj region query size = {}.
DRT 0033 frRegionQuery.cpp:892     {} shape region query size = {}.
DRT 0034 frRegionQuery.cpp:920     {} drObj region query size = {}.
DRT 0035 frRegionQuery.cpp:760       Complete {} (guide).
DRT 0036 frRegionQuery.cpp:906     {} guide region query size = {}.
DRT 0037 FlexGC_init.cpp:72        init_design_helper shape does not have net.
DRT 0038 FlexGC_init.cpp:80        init_design_helper shape does not have dr net.
DRT 0039 FlexGC_init.cpp:83        init_design_helper unsupported type.
DRT 0040 FlexGC_init.cpp:144       FlexGCWorker::initDesign_skipObj type not supported.
DRT 0041 FlexGC_main.cpp:149       Unsupported metSpc rule.
DRT 0042 FlexGC_main.cpp:224       Unknown corner direction.
DRT 0043 FlexGC_main.cpp:299       Unsupported metSpc rule.
DRT 0044 FlexGC_main.cpp:2150      Unsupported LEF58_SPACING rule for cut layer, skipped.
DRT 0045 FlexGC_main.cpp:2316       Unsupported branch EXACTALIGNED in checkLef58CutSpacing_spc_adjCut.
