GRT 0001 GlobalRouter.cpp:731      Minimum degree: {}
GRT 0002 GlobalRouter.cpp:732      Maximum degree: {}
GRT 0003 GlobalRouter.cpp:2985     Macros: {}
GRT 0004 GlobalRouter.cpp:2824     Blockages: {}
GRT 0005 GlobalRouter.tcl:305      layer $layer_name not found.
GRT 0008 GlobalRouter.cpp:3100     Default via: {}.
GRT 0009 GlobalRouter.cpp:296      Nets to reroute: {}.
GRT 0010 GlobalRouter.cpp:213      Routed clock nets: {}
GRT 0011 AntennaRepair.cpp:205     {} filler cells deleted.
GRT 0012 AntennaRepair.cpp:131     #Antenna violations: {}
GRT 0014 GlobalRouter.cpp:1367     Num routed nets: {}
GRT 0015 GlobalRouter.cpp:289      {} diodes inserted.
GRT 0017 GlobalRouter.cpp:1177     Processing {} blockages on layer {}.
GRT 0018 GlobalRouter.cpp:1749     Total wirelength: {} um
GRT 0019 GlobalRouter.cpp:2544     Found {} clock nets.
GRT 0020 GlobalRouter.cpp:3167     Min routing layer: {}
GRT 0021 GlobalRouter.cpp:3168     Max routing layer: {}
GRT 0022 GlobalRouter.cpp:3169     Global adjustment: {}%
GRT 0023 GlobalRouter.cpp:3170     Grid origin: ({}, {})
GRT 0025 MakeWireParasitics.cpp:159 non wire or via route found on net {}.
GRT 0026 MakeWireParasitics.cpp:197 missing route to pin {}.
GRT 0027 AntennaRepair.cpp:150     Design has rows with different site width.
GRT 0030 GlobalRouter.cpp:1299     Specified layer {} for adjustment is greater than max routing layer {} and will be ignored.
GRT 0031 GlobalRouter.cpp:1718     At least 2 pins in position ({}, {}), layer {}.
GRT 0032 GlobalRouter.cpp:1986     Pin {} has invalid orientation.
GRT 0033 GlobalRouter.cpp:2003     Pin {} has invalid orientation.
GRT 0034 GlobalRouter.cpp:2589     Net connected with instance of class COVER added for routing.
GRT 0035 GlobalRouter.cpp:2629     Pin {} is outside die area.
GRT 0036 GlobalRouter.cpp:2728     Pin {} is outside die area.
GRT 0037 GlobalRouter.cpp:2894     Found blockage outside die area.
GRT 0038 GlobalRouter.cpp:2946     Found blockage outside die area in instance {}.
GRT 0039 GlobalRouter.cpp:2976     Found pin outside die area in instance {}.
GRT 0040 GlobalRouter.cpp:3020     Net {} has wires outside die area.
GRT 0041 GlobalRouter.cpp:3048     Net {} has wires outside die area.
GRT 0042 GlobalRouter.cpp:1453     Routing layers were not initialized.
