TAP 0001 tapcell.tcl:307           Macro blocks found: $block_count
TAP 0002 tapcell.tcl:308           Original rows: $rows_count
TAP 0003 tapcell.tcl:309           Created rows: $cut_rows_count
TAP 0004 tapcell.tcl:443           Endcaps inserted: $endcap_count
TAP 0005 tapcell.tcl:603           Tapcells inserted: $tapcell_count
TAP 0006 tapcell.tcl:690           Top/bottom cells inserted: $topbottom_cnt
TAP 0007 tapcell.tcl:898           Cells inserted near blkgs: $blkgs_cnt
TAP 0009 tapcell.tcl:428           row [$subrow getName] have enough space for only one endcap.
TAP 0010 tapcell.tcl:190           Master $endcap_master_name not found.
TAP 0011 tapcell.tcl:496           Master $tapcell_master not found.
TAP 0012 tapcell.tcl:368           Master $cnrcap_nwin_master_name not found.
TAP 0013 tapcell.tcl:373           Master $cnrcap_nwout_master_name not found.
TAP 0014 tapcell.tcl:75            endcap_cpp option is deprecated.
TAP 0015 tapcell.tcl:147           tbtie_cpp option is deprecated.
TAP 0016 tapcell.tcl:151           no_cell_at_top_bottom option is deprecated.
TAP 0017 tapcell.tcl:154           add_boundary_cell option is deprecated.
TAP 0018 tapcell.tcl:639           Master $tap_nwintie_master_name not found.
TAP 0019 tapcell.tcl:643           Master $tap_nwin2_master_name not found.
TAP 0020 tapcell.tcl:647           Master $tap_nwin3_master_name not found.
TAP 0021 tapcell.tcl:651           Master $tap_nwouttie_master_name not found.
TAP 0022 tapcell.tcl:655           Master $tap_nwout2_master_name not found.
TAP 0023 tapcell.tcl:659           Master $tap_nwout3_master_name not found.
TAP 0024 tapcell.tcl:776           Master $tap_nwintie_master_name not found.
TAP 0025 tapcell.tcl:780           Master $tap_nwin2_master_name not found.
TAP 0026 tapcell.tcl:784           Master $tap_nwin3_master_name not found.
TAP 0027 tapcell.tcl:788           Master $tap_nwouttie_master_name not found.
TAP 0028 tapcell.tcl:792           Master $tap_nwout2_master_name not found.
TAP 0029 tapcell.tcl:796           Master $tap_nwout3_master_name not found.
TAP 0030 tapcell.tcl:800           Master $incnrcap_nwin_master_name not found.
TAP 0031 tapcell.tcl:804           Master $incnrcap_nwout_master_name not found.
TAP 0032 tapcell.tcl:1014          Macro [$inst getName] is not placed
TAP 0100 tapcell.tcl:249           Tap cells removed: $taps_removed
TAP 0101 tapcell.tcl:251           Endcaps removed: $endcaps_removed
