TAP 0001 tapcell.tcl:269           Macro blocks found: $block_count
TAP 0002 tapcell.tcl:270           #Original rows: $rows_count
TAP 0003 tapcell.tcl:271           #Cut rows: $cut_rows_count
TAP 0004 tapcell.tcl:423           #Endcaps inserted: $endcap_count
TAP 0005 tapcell.tcl:543           #Tapcells inserted: $tapcell_count
TAP 0006 tapcell.tcl:656           Top/bottom cells inserted: $topbottom_cnt
TAP 0007 tapcell.tcl:922           Cells inserted near blkgs: $blkgs_cnt
TAP 0008 tapcell.tcl:351           No enough space to place endcap in row $row_name. Skipping...
TAP 0009 tapcell.tcl:402           WARNING: row $row_name have enough space for only one endcap
TAP 0010 tapcell.tcl:522           Tapcell at position ($x, $lly) will cause overlap with endcap. Skipping...
TAP 0011 tapcell.tcl:209           Master $endcap_master not found
TAP 0012 tapcell.tcl:312           Master $cnrcap_nwin_master not found
TAP 0013 tapcell.tcl:318           Master $cnrcap_nwout_master not found
TAP 0014 tapcell.tcl:326           Master $cnrcap_nwin_master not found
TAP 0015 tapcell.tcl:332           Master $cnrcap_nwout_master not found
TAP 0016 tapcell.tcl:494           Master $tapcell_master not found
